DEBUG 2025-06-15 15:45:48,088 autoreload 16 140095426157440 File /app/weather_project/__init__.py first seen with mtime 1749983792.7013297
DEBUG 2025-06-15 15:45:48,088 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/pytz/tzfile.py first seen with mtime 1749991423.0
DEBUG 2025-06-15 15:45:48,089 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/rest_framework/request.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,090 autoreload 16 140095426157440 File /usr/local/lib/python3.11/asyncio/protocols.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,092 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,093 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/jinja2/utils.py first seen with mtime 1749991423.0
DEBUG 2025-06-15 15:45:48,094 autoreload 16 140095426157440 File /usr/local/lib/python3.11/asyncio/coroutines.py first seen with mtime 1749599833.0
DEBUG 2025-06-15 15:45:48,097 autoreload 16 140095426157440 File /app/weather/services.py first seen with mtime 1749983844.6996849
DEBUG 2025-06-15 15:45:48,100 autoreload 16 140095426157440 File /usr/local/lib/python3.11/lib-dynload/_pickle.cpython-311-x86_64-linux-gnu.so first seen with mtime 1749599809.0
DEBUG 2025-06-15 15:45:48,101 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/rest_framework/schemas/utils.py first seen with mtime 1749991426.0
DEBUG 2025-06-15 15:45:48,102 autoreload 16 140095426157440 File /usr/local/lib/python3.11/unittest/main.py first seen with mtime 1749599834.0
DEBUG 2025-06-15 15:45:48,103 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/contrib/postgres/fields/hstore.py first seen with mtime 1749991424.0
DEBUG 2025-06-15 15:45:48,103 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/utils/hashable.py first seen with mtime 1749991425.0
DEBUG 2025-06-15 15:45:48,105 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/urllib3/response.py first seen with mtime 1749991423.0
DEBUG 2025-06-15 15:45:48,106 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/pkg_resources/_vendor/pyparsing/results.py first seen with mtime 1749599854.0
DEBUG 2025-06-15 15:45:48,106 autoreload 16 140095426157440 File /usr/local/lib/python3.11/site-packages/django/core/files/storage/filesystem.py first seen with mtime 1749991425.0
